"Date de signalement","Numéro de Vélo",Localisation
"2023/02/01 08:37:43,285",57050,"23 Voie Br/15, 75015 Paris, France"
"2023/02/01 09:01:40,695",5803,"14 Rue De Dunkerque, 75010 Paris, France"
"2023/02/01 11:08:17,641",62660,"37 Rue Clavel 75019 Paris"
"2023/02/01 12:34:14,555",31700,"4 Rue Francis Jammes, 75010 Paris, France"
"2023/02/01 12:40:07,261",34111,"128 Avenue De La République, 93300 Aubervilliers, France"
"2023/02/01 12:46:10,176",39240,"1z Place De La Porte De Versailles 75015 Paris"
"2023/02/01 14:11:11,503",8703,"3 Rue Paul Lecomte, 92700 Colombes, France"
"2023/02/01 14:32:45,077",16008,"20 Rue Henri Barbusse, 75005 Paris, France"
"2023/02/01 15:33:07,226",23456,"Promenade Des Berges De La Seine — André Gorz 75007 Paris"
"2023/02/01 15:38:23,622",39864,"6 Rue D'aguesseau 75008 Paris"
"2023/02/01 15:40:12,357",1975,"11 Quai De Conti, 75001 Paris, France"
"2023/02/01 16:28:06,350",58212,"1 Quai De La Corse, 75004 Paris, France"
"2023/02/01 16:36:06,445",51857,"64 Route De La Muette À Neuilly 75116 Paris"
"2023/02/01 16:36:52,259",61557,"Rue Curie, 92150 Suresnes, France"
"2023/02/01 16:51:58,311",44565,"47 Rue Lecourbe, 75015 Paris, France"
"2023/02/01 17:25:02,318",1715,"192 Rue Saint-Honoré, 75001 Paris, France"
"2023/02/01 17:47:41,706",10226,"59 Rue Grétillat, 94400 Vitry-sur-Seine, France"
"2023/02/01 19:27:46,961",62069,"Leredde - Tolbiac"
"2023/02/01 20:21:51,924",41712,"9 Rue Dulcie September, 93400 Saint-Ouen-sur-Seine, France"
"2023/02/01 21:13:01,409",30321,"7 Passage Du Génie, 75012 Paris, France"
"2023/02/01 22:42:07,812",13548,"11 Place Vauban, 75007 Paris, France"
"2023/02/01 23:35:24,897",40728,"16 Rue De Montpensier 75001 Paris"
"2023/02/02 07:56:38,734",58800,"1 Rue Dunois 75013 Paris"
"2023/02/02 08:14:44,874",17838,"241 Rue Saint-Denis 75002 Paris"
"2023/02/02 11:29:58,585",56555,"D 7, 92400 Courbevoie, France"
"2023/02/02 12:04:09,237",12652,"48b Rue Des Plantes 75014 Paris"
"2023/02/02 14:59:36,484",36442,"10 Avenue Scribe, 92190 Meudon, France"
"2023/02/02 17:31:00,606",39388,"107 Boulevard De Sébastopol 75002 Paris"
"2023/02/02 17:42:03,256",58439,"2 Rue Vernet 75008 Paris"
"2023/02/02 17:54:44,110",22200,"9 Rue Lucien Lambeau 75020 Paris"
"2023/02/02 19:40:43,181",16008,"20 Rue Pierre Nicole, 75005 Paris, France"
"2023/02/02 22:34:38,690",11929,"44 Rue Des Tilleuls, 92100 Boulogne-Billancourt, France"
"2023/02/02 23:51:06,695",61417,"20 Rue De La Marne, 94140 Alfortville, France"
"2023/02/03 01:08:53,985",62653,"81 Rue Albert Dhalenne 93400 Saint-Ouen-sur-Seine"
"2023/02/03 07:23:28,716",45403,"56 Avenue Foch 94120 Fontenay-sous-Bois"
"2023/02/03 08:04:34,083",52219,"10 Avenue Du Stade De France, 93200 Saint-Denis, France"
"2023/02/03 09:06:09,381",1157,"4 Rue De L'oratoire, 75001 Paris, France"
"2023/02/03 10:04:09,916",63685,"Route De La Révolte 93200 Saint-Denis"
"2023/02/03 10:17:12,042",62920,"54 Rue Pasteur 93400 Saint-Ouen-sur-Seine"
"2023/02/03 10:25:56,733",44517,"158 Rue Championnet 75018 Paris"
"2023/02/03 10:47:25,378",61945,"6 Rue Nanteuil, 75015 Paris, France"
"2023/02/03 10:41:21,460",62866,"9 Rue Vésale 75005 Paris"
"2023/02/03 11:13:44,372",23948,"Rue De Rambouillet, 75012 Paris, France"
"2023/02/03 11:26:18,148",27137,"61 Rue Henri Barbusse 92110 Clichy"
"2023/02/03 11:32:41,163",26201,"79 Boulevard Saint-Michel 75005 Paris"
"2023/02/03 11:51:28,896",67560,"48 Boulevard De L'hôpital 75013 Paris"
"2023/02/03 13:20:20,979",34028,"24 Avenue Corentin Cariou 75019 Paris"
"2023/02/03 14:09:54,979",63685,"Route De La Révolte, 93200 Saint-Denis, France"
"2023/02/03 16:02:09,941",61789,"6 Rue Rochambeau, 75009 Paris, France"
"2023/02/03 16:22:44,074",60427,"155 Rue Jp Timbaud, 92400 Courbevoie, France"
"2023/02/03 16:37:23,253",56273,"47 Rue Pelleport 75020 Paris"
"2023/02/03 22:06:23,253",43522,"48 Boulevard Ornano, 93200 Saint-Denis, France"
"2023/02/03 22:07:45,109",60722,"59 Boulevard Ornano, 93200 Saint-Denis, France"
"2023/02/03 22:21:51,349",56193,"20 Rue Bréguet, 75011 Paris, France"
"2023/02/03 22:38:55,748",21890,"135 Rue La Fayette, 75010 Paris, France"
"2023/02/03 22:39:24,267",43766,"8 Rue Des Mathurins, 75009 Paris, France"
"2023/02/04 09:32:40,474",53449,"64 Rue Charles Auray, 93500 Pantin, France"
"2023/02/04 09:52:25,830",60838,"152 Rue De Picpus 75012 Paris"
"2023/02/04 10:36:14,971",63221,"1 Place De La Mairie, 94800 Villejuif, France"
"2023/02/04 12:51:59,901",58925,"Rue Picquart, 92600 Asnières-sur-Seine, France"
"2023/02/04 13:23:09,687",62153,"36 Rue Paul Éluard 93200 Saint-Denis"
"2023/02/04 15:02:36,390",16008,"20 Rue Du Val De Grâce, 75005 Paris, France"
"2023/02/04 15:06:04,782",57965,"11 Rue De Poitou, 75003 Paris, France"
"2023/02/04 15:11:36,912",52280,"1 Impasse Edgar Quinet 93120 La Courneuve"
"2023/02/04 15:15:23,577",61436,"22 Rue Bartholdi 92100 Boulogne-Billancourt"
"2023/02/04 17:22:17,116",61626,"Port Saint-Bernard, 75005 Paris, France"
"2023/02/04 17:31:22,401",3124,"18 Rue Des Docteurs Déjérine 75020 Paris"
"2023/02/04 18:23:06,364",55429,"144 Avenue De Gravelle 75012 Paris"
"2023/02/04 19:19:02,485",9476,"8b Rue De Rivoli 75004 Paris"
"2023/02/04 19:28:55,368",8491,"7 Rue De Montmorency, 75003 Paris, France"
"2023/02/04 19:27:45,250",58271,"7 Rue De Montmorency, 75003 Paris, France"
"2023/02/04 22:12:09,779",63547,"3 Avenue Gutenberg, 92800 Puteaux, France"
"2023/02/04 22:59:56,426",26776,"Gare de Bercy"
"2023/02/04 23:01:14,670",60350,"Gare de Bercy"
"2023/02/04 23:23:38,851",42834,"4b Place Félix Éboué, 75012 Paris, France"
"2023/02/05 01:22:41,021",43599,"21 Rue De La Faisanderie 75116 Paris"
"2023/02/05 01:20:20,257",61839,"57 Avenue Bugeaud 75116 Paris"
"2023/02/05 05:14:52,156",36082,"3 Rue Camille Muffat, 92700 Colombes, France"
"2023/02/05 09:34:49,192",61854,"99 Avenue Georges Gosnat, 94200 Ivry-sur-Seine, France"
