"Nom station prise","Latitude station prise","Longitude station prise",Total,VAE,VM
"Adolphe Pinard - Victor Hugo","48,8236825874564","2,30778437107801",2,2,0
"Alibert - Jemmapes","48,871044051984","2,3661044619878",2,1,1
"Amédée Huon - Fort d'Ivry","48,8051313769","2,38848969340324",1,1,0
"Ancienne Mairie - André Morizet","48,838311","2,234077",2,2,0
"André Mazet - Saint-André des Arts","48,8537558105743","2,33909580856562",3,3,0
"Arago - Glacière","48,8348605477577","2,34457705243221",1,1,0
"Assas - Luxembourg","48,8437344687794","2,33342838187589",1,0,1
"BNF - Bibliothèque Nationale de France","48,8350268238","2,3760157451034",2,1,1
Basilique,"48,9362689105911","2,35886668202009",2,2,0
"Belles Feuilles - Place de Mexico","48,865804746474","2,2829206287861",2,2,0
"Bercy - Traversiére","48,846192642574","2,3703800886869",1,0,1
Bercy.,"48,839966914994","2,3788625746965",1,0,1
"Bichat - Grange aux Belles","48,873688","2,365015",1,1,0
"Bobillot - Moulin des Prés","48,828657346203","2,353020646317",1,1,0
"Bois de Vincennes.","48,8338064","2,4132221",1,0,1
"Botzaris - Crimée","48,8795969869018","2,38879133374771",1,1,0
"Boulangers - Cardinal Lemoine","48,8462904","2,3521495",1,1,0
"Bracion - Périphérique","48,826103771275","2,3004549373748",2,0,2
"Bruant - Vincent Auriol","48,834848452929","2,3668264996271",1,1,0
"Bréa - Raspail","48,842738478258","2,3297942217634",1,1,0
"Buffon - Jardin des Plantes","48,8426684661049","2,36185871064663",2,0,2
"Cardinal Lavigerie","48,8329341936998","2,40263674939916",2,0,2
"Carrefour Pleyel","48,9203415696033","2,34385438263416",1,1,0
"Censier - Jardin des Plantes","48,8410717816138","2,35547538846731",2,0,2
"Censier - Santeuil","48,8406589213852","2,35375240445137",1,0,1
"Charenton - Prague","48,848175129981","2,3763584494312",1,1,0
"Charenton - Wattignies","48,836675796406","2,3917958555556",1,0,1
"Charentonneau - Maisons Alfort","48,8099329804844","2,44328845649695",1,0,1
"Chartres - La Charbonnière","48,8847601","2,3534657",1,1,0
"Cherche-Midi - Hôpital Necker","48,8446106330996","2,31791406869888",2,2,0
"Château de Vincennes","48,8442319325566","2,43920953770918",1,1,0
"Cimetière de Montrouge","48,821466904768","2,3215785772007",3,2,1
"Claude Vellefaux - Sambre et Meuse","48,875022","2,370478",1,1,0
"Clef des Champs - Albert Dhalenne","48,914938","2,330665",1,1,0
"Conservatoire de Musique","48,770935866676","2,40340143442154",1,1,0
"Convention - Vaugirard","48,8376768223316","2,29558692602025",1,1,0
