"Nom station prise","Latitude station prise","Longitude station prise",Total,VAE,VM
"Arago - Glacière","48,8348605477577","2,34457705243221",3,3,0
"BNF - Bibliothèque Nationale de France","48,8350268238","2,3760157451034",2,2,0
"Bagnolet - Place Saint-Blaise","48,85973","2,40334",1,0,1
"Bastille - Biscornet","48,851355779579","2,369220033288",5,3,2
"Bastille - Quai de la Rapée","48,84682410855","2,3669364675879",1,1,0
"Beaux-Arts - Bonaparte","48,8564519853958","2,3348518833518",1,1,0
"Bercy - Traversiére","48,846192642574","2,3703800886869",1,0,1
Bercy.,"48,839966914994","2,3788625746965",2,2,0
"Billancourt - Général Leclerc ","48,8322649","2,2380413",2,1,1
"Blaise-Desgoffe - Vaugirard","48,846128877747","2,3242672160268",1,1,0
"Bobillot - Moulin des Prés","48,828657346203","2,353020646317",1,1,0
"Bobillot - Paulin Mery","48,8298998417474","2,35433567667485",1,1,0
"Bourdonnais - Tour Eiffel","48,860897797941","2,295599598447",2,1,1
"Bruneseau - Quai d'Ivry","48,8249456375829","2,38856613636017",1,1,0
"Butte aux Cailles - Esperance","48,8275877419095","2,34921511262655",1,0,1
"Cadix - Hameau","48,8340107632249","2,28951618075371",1,0,1
"Camille Groult - Guy Môquet","48,7874827465213","2,39767257124186",1,0,1
"Censier - Jardin des Plantes","48,8410717816138","2,35547538846731",1,1,0
"Champ de Mars - Cler","48,8566915501153","2,30664677917957",1,0,1
"Charenton - Diderot","48,846171461187","2,3793068155646",1,1,0
"Charenton - Wattignies","48,836675796406","2,3917958555556",1,0,1
"Charonne - Alexandre Dumas","48,8560774150561","2,39486932754517",1,1,0
"Cité Vaneau","48,8542210666207","2,31961492449045",1,0,1
"Claude Bernard - Arbalète","48,839766769782","2,34751090407372",2,2,0
"Colonel Pierre Avia","48,8296843300915","2,27534258685029",1,0,1
"Constantine - Université","48,8606804737383","2,31484819558422",1,1,0
"Convention - Vaugirard","48,8376768223316","2,29558692602025",1,0,1
"Cours de l'Ile Seguin - Parc Billancourt","48,8271405584394","2,23423451185226",1,1,0
"Croix Nivert - Square Saint-Lambert","48,8430515215905","2,29520045220852",1,1,0
"Diderot - Reuilly","48,847208456061","2,3861273378134",1,0,1
"Duméril - Jeanne d'Arc","48,8381516080866","2,3571084495564",2,1,1
"Edgar Quinet - Raspail","48,8394026667384","2,32971478253603",1,1,0
"Etienne Dolet - Place Maurice Chevalier","48,8679830335937","2,3851405311143",1,1,0
"Fabre d'Eglantine - Place de la Nation","48,8471116","2,3956204",2,2,0
"Fief - République","48,8317088816602","2,2557719796896",1,1,0
"François Truffaut - Saint Emilion","48,8337235434481","2,38660190327143",1,0,1
"Gabriel Lamé","48,8351212784276","2,38553456962109",3,1,2
"Gare Montparnasse - Edgar Quinet","48,841487851079","2,3233232282801",1,0,1
"Gare RER - Canadiens","48,8199530795579","2,46417675245946",1,1,0
"Gare RER de Vincennes","48,8475630151261","2,43338316679001",2,1,1
