"Nom station prise","Latitude station prise","Longitude station prise",Total,VAE,VM
"8 Mai 1945 - 10 Juillet 1940","48,784567029674","2,3979035764933",1,0,1
"Alexandre Parodi - Quai de Valmy","48,8793594194253","2,36659616231918",1,1,0
"Amelot - Saint-Sébastien","48,8611421627609","2,36779961810773",2,0,2
"Archives - Pastourelle","48,8623615","2,3595041",1,1,0
"Argenson - Château","48,8885593146695","2,26420015096664",2,2,0
"Argenteuil - Voltaire","48,9186486595556","2,28141121566296",1,1,0
"Bagnolet - Orteaux","48,8570864102724","2,39841252565384",1,1,0
"Balzac - Olympes de Gouges","48,7785033248675","2,4006786569953",2,2,0
"Bas - Gabriel Péri","48,9158558053962","2,2948095202446",2,1,1
"Batignolles - Place de Clichy","48,883474535757","2,326493114233",3,3,0
"Beaumarchais - Pas de la Mule","48,855580507049","2,3684333673431",2,1,1
Beffroy,"48,886591074488","2,26139456033707",2,2,0
"Belfort - Voltaire","48,8563358","2,3829901",2,2,0
"Belleville - Pyrénées","48,8741908","2,3860039",4,4,0
Bercy.,"48,839966914994","2,3788625746965",2,2,0
"Bineau - Louise Michel","48,88666162207","2,2843274474144",1,1,0
"Bir Hakeim","48,8538440543335","2,28970534822202",1,0,1
"Blaise-Desgoffe - Vaugirard","48,846128877747","2,3242672160268",1,1,0
"Bobillot - Paulin Mery","48,8298998417474","2,35433567667485",1,1,0
"Boulets - Faubourg Saint-Antoine","48,849259262115","2,3917546141943",2,1,1
"Boulets - Voltaire","48,85218705621","2,3890301585197",1,0,1
"Bourdon - Pont Morland","48,8478103","2,3659356",1,1,0
"Bourg l'Abbé - Saint-Martin","48,8639333194926","2,35240627080202",2,1,1
"Bruant - Vincent Auriol","48,834848452929","2,3668264996271",1,1,0
"Cardinal Lavigerie","48,8329341936998","2,40263674939916",1,1,0
"Caumartin - Provence","48,8744227734265","2,32846856117249",1,0,1
"Centenaire - Sorins","48,8585352335973","2,42735087871552",1,1,0
"Centre Georges Pompidou","48,861419","2,352581",1,1,0
"Chabrol - d'Hauteville","48,8770183880333","2,35131796449423",1,1,0
"Charenton - Wattignies","48,836675796406","2,3917958555556",1,0,1
"Charles Delescluze","48,8524220084889","2,38063249737024",1,1,0
"Charles Frérot - Albert Guilpin","48,8155839183714","2,35050290822983",1,1,0
"Charonne - Alexandre Dumas","48,8560774150561","2,39486932754517",1,1,0
"Chemin Vert - Saint-Maur","48,8611246140736","2,38129902631044",2,1,1
"Choron - Martyrs","48,8778514435025","2,33967013657093",1,0,1
"Château - Place de Catalogne","48,836805542262","2,3185293003917",3,3,0
"Cimetière d'Issy-les-Moulineaux","48,8176997739254","2,26093120872974",1,1,0
"Cité des Sciences et de l'Industrie","48,896595711789","2,38459914922714",2,2,0
"Claude Bernard - Arbalète","48,839766769782","2,34751090407372",1,0,1
"Claude Debussy - Marc Bloch","48,910388180512","2,3117771744728",1,1,0
"Constantine - Université","48,8606804737383","2,31484819558422",2,1,1
"Convention - Vaugirard","48,8376768223316","2,29558692602025",1,1,0
"Cordelières - Arago","48,8354807189661","2,34857246170222",2,1,1
"Cours de Vincennes - Davout","48,847238029966","2,4107042336225",1,1,0
