"Nom station prise","Latitude station prise","Longitude station prise",Total,VAE,VM
"18 juin 1940 - Buzenval","48,868807","2,185428",1,1,0
"Adrien Lesesne - Docteur Bauer","48,9026386730463","2,34824806343151",1,0,1
"Alfred Roll - Berthier","48,887808570529","2,3000952981763",1,1,0
"Ambroise Rendu - Porte Brunet","48,883667","2,395733",2,2,0
"André Maurois - Joseph et Marie Hackin","48,8778983","2,2789591",2,2,0
"André Mazet - Saint-André des Arts","48,8537558105743","2,33909580856562",1,0,1
"Aqueduc - Villette","48,883886063895","2,367198803315",1,1,0
"Arcole - Notre-Dame","48,8538835413277","2,34937973320484",1,0,1
"Argenson - Château","48,8885593146695","2,26420015096664",1,1,0
"Arsène Houssaye - Champs-Elysées","48,873409276267","2,2977904602885",1,0,1
"Arthur Ranc - Hôpital Bichat","48,8978712500682","2,33352184295654",1,0,1
"Averroès - Aimé Césaire","48,9140532343286","2,41263695061207",1,1,0
"BNF - Bibliothèque Nationale de France","48,8350268238","2,3760157451034",6,2,4
"Barbès - Monique Maunoury","48,8155271882022","2,36871693349054",1,1,0
"Bas - Gabriel Péri","48,9158558053962","2,2948095202446",10,4,6
"Bastille - Biscornet","48,851355779579","2,369220033288",1,1,0
"Batignolles - Beudant","48,8821640146638","2,31985297054052",1,1,0
"Batignolles - Rome","48,8818233705668","2,32025898993015",1,1,0
"Bayen - Pereire","48,8818044090797","2,29210887104273",1,0,1
"Beaumarchais - Saint-Gilles","48,8580378","2,3679352",1,0,1
"Benjamin Godard - Victor Hugo","48,865983","2,275725",2,0,2
"Bercy - Traversiére","48,846192642574","2,3703800886869",2,1,1
"Bercy - Villot","48,841795009027","2,3767850184816",2,0,2
"Berthier - Place Stuart Merril","48,885927922355","2,29334503412247",1,0,1
"Blancs-Manteaux - Archives","48,85941800703","2,3559471219778",3,1,2
"Bosquet - Saint-Dominique","48,8586517095264","2,30371658023458",2,0,2
"Bourdon - Pont Morland","48,8478103","2,3659356",4,3,1
