"Nom station prise","Latitude station prise","Longitude station prise",Total,VAE,VM
"Alexandre Dumas - Voltaire","48,852888670365","2,3891476408096",3,3,0
"Amelot - Saint-Sébastien","48,8611421627609","2,36779961810773",2,2,0
"André Theuriet - Blagis","48,7797732574544","2,31305256485939",1,1,0
"Archives - Rivoli","48,857346707443","2,3539767041802",1,0,1
"Arcole - Notre-Dame","48,8538835413277","2,34937973320484",2,0,2
"Assas - Luxembourg","48,8437344687794","2,33342838187589",2,2,0
"Assas - Rennes","48,8492084999386","2,32851454623001",1,1,0
"Bagnolet - Place Saint-Blaise","48,85973","2,40334",1,1,0
"Bargue -  Dutot","48,837884","2,308876",1,1,0
"Bastille - Beaumarchais","48,853833463852","2,3685702681541",3,2,1
"Belleville - Couronnes","48,868831082877","2,3809862136841",1,1,0
Bercy.,"48,839966914994","2,3788625746965",2,2,0
"Bir Hakeim","48,8538440543335","2,28970534822202",1,1,0
"Bosquet - Saint-Dominique","48,8586517095264","2,30371658023458",1,1,0
"Bréguet - Sabin","48,856931678257","2,3706749462105",2,1,1
"Buffon - Jardin des Plantes","48,8426684661049","2,36185871064663",2,0,2
"Buzenval - Avron","48,8516172049987","2,40151359730767",1,1,0
"Camille Risch - Paul Armangot","48,774703","2,373685",1,1,0
"Capitaine Glarner - Gabriel Péri","48,9024499004187","2,33048075334257",3,3,0
"Censier - Jardin des Plantes","48,8410717816138","2,35547538846731",1,0,1
"Censier - Santeuil","48,8406589213852","2,35375240445137",2,1,1
"Charenton - Diderot","48,846171461187","2,3793068155646",1,0,1
"Charles de Gaulle - Plateau de Vanves","48,8223308897326","2,29857180341289",1,1,0
"Charonne - Faubourg Saint-Antoine","48,852191909696","2,3740932717919",1,0,1
"Cité Riverin - Château d'Eau","48,8707024235543","2,35873986390085",1,1,0
"Commandant Rivière","48,872933","2,309796",1,0,1
"Commerce - Letellier","48,8479766037361","2,29662451965988",1,0,1
"Convention - Lourmel","48,8420550416557","2,28599108755589",2,0,2
"Convention - Vaugirard","48,8376768223316","2,29558692602025",1,1,0
"Danielle Casanova - Ledru-Rollin","48,8157834978768","2,38325972110033",1,1,0
"David Weill - Parc Montsouris","48,8210923742561","2,33372569084167",1,0,1
"Didot - Mariniers","48,8265054361311","2,31313619827167",1,1,0
"Didot - Place de Moro-Giafferi","48,8337","2,3215",1,1,0
"Division Leclerc - Kléber","48,798666226364","2,2833752789972",1,1,0
"Ecole Vétérinaire","48,8148885982249","2,4224362157779",1,0,1
"Edgar Quinet - Gaité","48,8411609289663","2,32459545135498",1,1,0
"Emile Zola - Fondary","48,8470511431137","2,29534059762955",3,0,3
"Epée de Bois - Mouffetard","48,8415086903888","2,35006671398878",2,0,2
"Eugène Oudiné - Dessous Des Berges","48,8256423","2,3750226",2,2,0
"Eugène Reisz - Davout","48,8563187463264","2,41039697080851",1,1,0
"Faidherbe - Dahomey","48,8513583297718","2,38382313479543",1,1,0
"Faubourg Du Temple - Republique","48,867872484749","2,3648982158072",2,1,1
"François Debergue - Croix de Chavaux","48,8574217080721","2,4375781416893",1,1,0
"Gabriel Lamé","48,8351212784276","2,38553456962109",1,0,1
"Gare Montparnasse - René Mouchotte","48,8392038432924","2,32088394463062",2,2,0
"Gare RER - Général de Gaulle","48,933548439566","2,3064726536317",3,1,2
"Gare Saint-Lazare - Cour du Havre","48,875674400851","2,3265598341823",1,1,0
"Gare d'Austerlitz - Pont Charles de Gaulle","48,8423198301093","2,36703000962734",1,0,1
"Gare de Lyon - Place Louis Armand","48,845515089794","2,3726498446286",1,0,1
"Gare de Lyon - Roland Barthes","48,8439572949406","2,37908821552992",1,1,0
"Gare de Lyon - Van Gogh","48,843839785643","2,3704450240357",2,1,1
"Gare de Reuilly - Picpus","48,8426735411679","2,39729437977076",1,1,0
"Gare de l'Est - Faubourg-Saint-Martin","48,875642647477","2,3594588041306",1,1,0
"Gay Lussac - Saint-Jacques","48,8447302561321","2,34192394486641",1,1,0
"Geoffroy-Saint-Hilaire - Saint-Marcel","48,8390782642497","2,35687734066973",1,1,0
"Gergovie - Vercingétorix","48,8345341388399","2,31315454742618",1,1,0
"Grenelle - Violet","48,8499303551215","2,29461204260588",2,1,1
"Hameau Fleuri - Marché","48,8314488926083","2,24124044179916",2,2,0
"Hauteville - Bonne Nouvelle","48,87077436024","2,3496496368327",2,1,1
"Hector Malot - Daumesnil","48,8469355299176","2,37708762288094",1,0,1
"Henri Barbusse - Gabriel Péri","48,801773795836","2,2874166362216",1,1,0
"Hôpital Necker","48,8460434901185","2,31324501335621",1,1,0
"Indre - Prairies","48,8625439850678","2,40329045802355",2,2,0
"Institut du Monde Arabe - Saint-Germain","48,849063299501","2,3558086529374",1,1,0
"Jean Mermoz - Champs-Elysées","48,869689856852","2,3107324540615",1,1,0
"Jourdain - Place des Grandes Rigoles","48,8740311372717","2,38959476351738",1,1,0
"Jourdan - Stade Charléty","48,819428333369","2,3433353751898",1,1,0
"Jussieu - Fossés Saint-Bernard","48,8471855100235","2,35348585993052",1,0,1
"Keller - La Roquette","48,8555508","2,3752778",2,0,2
"Lakanal - Commerce","48,8444246278654","2,29405917227268",2,0,2
"Le Goff - Gay-Lussac","48,8461024009786","2,34122078865767",1,1,0
"Ledru-Rollin - Charonne","48,8534585560724","2,37724635819471",1,1,0
"Les Blagis","48,785205","2,302526",2,0,2
"Lobau - Hôtel de Ville","48,8562118","2,3532536",1,0,1
"Louis Blanc - La Chapelle","48,884008964514","2,3599335551262",1,1,0
"Lourmel - Marie Skobtsov","48,844974","2,287283",1,0,1
"Lucie Aubrac - Franklin","48,8622391600681","2,44358628988266",2,2,0
"Lucien Sampaix - Récollets","48,8743303775605","2,3621229082346",1,1,0
"M.- A. Lagroua Weill-Hallé -  F. Dolto","48,8285952838574","2,38022060626611",2,2,0
"Mairie du 4ème","48,855949910497","2,3563823103905",1,0,1
"Mairie du 9ème","48,8732671375829","2,34075344805276",2,2,0
"Malesherbes - Place de la Madeleine","48,870406028483","2,323243509808",1,0,1
"Marceau - Chaillot","48,868834023334","2,2986030816809",1,0,1
"Marché aux fleurs","48,855258115391","2,3473754525185",2,1,1
"Mathurins - Auber","48,872988840744","2,3294984212276",1,1,0
"Maurice d'Ocagne - General Maudhuy","48,8241428252416","2,31587894260883",1,1,0
Mutualité,"48,848225572724","2,3502873256803",2,2,0
"Ménilmontant - Oberkampf","48,866617658681","2,3830134404158",2,1,1
"Ménilmontant - Père Lachaise","48,863287291502","2,3869940266013",3,3,0
"Nationale - Place Jules Guesde","48,82753962463","2,24160522222519",2,1,1
"Oberkampf - République","48,8653160870705","2,37611478491",2,2,0
"Octave Gréard - Tour Eiffel","48,856502977696","2,2931787543289",2,1,1
"Odessa - Départ","48,842885590081","2,3244281485677",1,1,0
"Panthéon - Valette","48,8470205716522","2,34649826196711",1,1,0
"Parc Georges Brassens - Brancion","48,8322782926976","2,30225700885057",1,1,0
"Parc de Belleville - Julien Lacroix","48,8703459","2,3842214",1,1,0
"Paul Signac - Aristide Briand","48,8695026215637","2,45022609829903",1,1,0
"Pernety - Raymond Losserand","48,834254627953","2,317609339387",2,0,2
"Petites Ecuries - Faubourg Saint-Denis","48,8728712058983","2,35421508550644",2,2,0
"Pierre Sarrazin - Saint-Michel","48,8509081463977","2,34213072806597",1,1,0
"Place Charles Digeon","48,843542031336","2,41842716932297",3,1,2
"Place Charles Michels","48,846401","2,28502",1,1,0
"Place Edmond Michelet","48,860134890542","2,3500636965036",2,2,0
"Place Fernand Forest","48,8492691438359","2,28186316788197",1,1,0
"Place Henri Dunant - Gare RER","48,788093281931","2,2909234046643",2,2,0
"Place Jacques et Thérèse Tréfouël","48,842726498317","2,3125657439232",1,1,0
"Place Joffre - Frédéric le Play","48,853754486938","2,3044242337346",1,1,0
"Place Mireille Havet","48,850533","2,383756",4,4,0
"Place Pasdeloup","48,862654215631","2,3670325062844",2,0,2
"Place Robert Guillemard","48,8361917280667","2,28112671600864",1,0,1
"Place Saint-André des Arts","48,852886173881","2,3426544293761",1,0,1
"Place de l'Eglise - Pantin","48,8928094615203","2,4124351143837",3,2,1
"Place de la Nation - Picpus","48,846821681548","2,4001130461693",2,2,0
"Place de la République - Voltaire","48,866830968942","2,3654810339212",1,0,1
"Place des Marseillais","48,8266390725255","2,40592807531357",1,0,1
"Place du Docteur Yersin","48,8201049499198","2,37255837768316",1,0,1
"Porte d'Ivry","48,8217687475965","2,36887067556381",1,0,1
"Porte d'Orléans","48,8227639","2,3249313",1,1,0
"Pyrénées - Charles Renouvier","48,8609593322922","2,40042185204211",1,1,0
"Pyrénées - Maraîchers","48,857140013953","2,40435093641281",1,1,0
"Quai Jules Guesde - Saint-Simon","48,8039148721899","2,40896616202737",1,1,0
"Quai de Valmy","48,8812695157943","2,36818604171276",1,1,0
"Quatre Vents - Carrefour de l'Odéon","48,8517513744589","2,33816169513405",1,1,0
"Rapp - Place du Général Gouraud","48,858102885107","2,3004072904587",2,2,0
"Raspail - Varenne","48,853147816545","2,3263905197382",1,0,1
"René Boulanger - Lancry","48,8685433","2,3600032",1,0,1
"Reuilly - Place Felix Eboue","48,8403027449996","2,39463039871545",1,1,0
"Romainville - Vaillant-Couturier","48,86785","2,446748",1,1,0
"Roquette - Thiéré","48,8550793057951","2,37336863187215",1,0,1
"Roquépine - Malesherbes","48,8734507339081","2,32040449976921",1,1,0
"Résistance - Hoche","48,864273423742","2,43578441441059",1,1,0
"Sabot - Rennes","48,8525751129484","2,33155276626348",1,1,0
"Saint-Antoine Sévigné","48,8550222","2,3612322",3,2,1
"Saint-Jacques - Tombe Issoire","48,8332063305389","2,33691081404686",2,0,2
"Saint-Mandé - Docteur Arnold Netter","48,8446258576967","2,40494638681412",1,1,0
"Saint-Michel - Luxembourg","48,84501507626","2,3394941166043",2,1,1
"Santé - Arago","48,8350765756206","2,34157372620449",1,1,0
"Square Alban Satragne","48,875388227727","2,3559567333359",1,0,1
"Square Bela Bartok","48,851201568304","2,28465367108583",1,1,0
"Square Cambronne","48,84756654526","2,3025691509247",3,3,0
"Square René Viviani - Montebello","48,8519048914064","2,34784215688705",1,1,0
"Stalingrad - Désiré Chevalier","48,8567016973986","2,44507223367691",1,1,0
"Suffren - Champ de Mars","48,8547194","2,2952168",1,1,0
"Sèvres - Lecourbe","48,8447677","2,3110086",1,1,0
"Taitbout - La Fayette","48,8733298891997","2,33526259660721",1,1,0
"Traversière - Ledru-Rollin","48,8507358241288","2,37587011170625",2,1,1
Varenne,"48,857202661803","2,3152771219611",1,1,0
"Vaugirard - Monsieur le Prince","48,848951441614","2,3411329463124",1,1,0
"Victor Hugo - Galliéni","48,8380201544113","2,24608451128006",1,1,0
"Victor Hugo - Jeanne Jugan","48,8439490640318","2,41508139483442",1,1,0
"Vincennes - Douy-Delcupe","48,8549369215572","2,43604928255081",1,1,0
"Vincent Auriol - Louise Weiss","48,834001935501","2,3703888058662",1,1,0
"Vistule - Choisy","48,8236554366061","2,36157238483429",1,1,0
"Vivaldi - Antoine-Julien Hénard","48,8419236632765","2,38972897946738",2,1,1
"Westermeyer - Paul Vaillant-Couturier","48,8191161815788","2,39666372537613",1,1,0
