"Nom station prise","Latitude station prise","Longitude station prise",Total,VAE,VM
"11 Novembre 1918 - 8 Mai 1945","48,8088953377438","2,53824211657047",1,1,0
"Aboukir - Alexandrie","48,8686834444447","2,35020432694749",1,0,1
"Alexandre Dumas - Place de la Réunion","48,8553371074205","2,39977036876463",1,1,0
"Alibert - Jemmapes","48,871044051984","2,3661044619878",2,2,0
"Amédée Huon - Fort d'Ivry","48,8051313769","2,38848969340324",2,2,0
"Anatole France - President Roosevelt","48,9155156","2,3814103",1,1,0
"André Theuriet - Blagis","48,7797732574544","2,31305256485939",2,0,2
"Aqueduc - Villette","48,883886063895","2,367198803315",1,1,0
"Archives - Rivoli","48,857346707443","2,3539767041802",2,2,0
"Arthur Ranc - Hôpital Bichat","48,8978712500682","2,33352184295654",2,2,0
"Assas - Rennes","48,8492084999386","2,32851454623001",2,2,0
"Assemblée Nationale","48,861411014652","2,3201214185208",4,4,0
"Auguste Blanqui - Corvisart","48,8300989","2,3502726",2,1,1
"Auguste Blanqui - Glacière","48,8311516029644","2,34382219612598",1,1,0
Avenir,"48,8103438","2,3003776",1,1,0
"BNF - Bibliothèque Nationale de France","48,8350268238","2,3760157451034",1,0,1
"Bagnolet - Place Saint-Blaise","48,85973","2,40334",1,1,0
"Balard - Montagne de la Fage","48,8385074033335","2,27828711271286",1,1,0
"Bas - Gabriel Péri","48,9158558053962","2,2948095202446",1,0,1
"Bastille - Beaumarchais","48,853833463852","2,3685702681541",2,2,0
"Beaumarchais - Pas de la Mule","48,855580507049","2,3684333673431",1,0,1
"Belidor - Gouvion-Saint-Cyr","48,8802215405201","2,28546805679798",1,1,0
"Bellefond - Poissonnière","48,8775989705071","2,34846375882626",1,1,0
"Belleville - Couronnes","48,868831082877","2,3809862136841",1,1,0
"Belleville - Pyrénées","48,8741908","2,3860039",1,1,0
"Belliard - Damrémont","48,8966923877784","2,33802345038817",1,1,0
Bercy.,"48,839966914994","2,3788625746965",1,1,0
"Bertrand Sincholle - Henri Barbusse","48,8992598239435","2,3042294383049",1,0,1
"Bir Hakeim","48,8538440543335","2,28970534822202",1,1,0
"Blaise-Desgoffe - Vaugirard","48,846128877747","2,3242672160268",1,1,0
"Bleue - Trévise","48,8757890656457","2,34728962182999",2,0,2
"Bobillot - Moulin des Prés","48,828657346203","2,353020646317",3,2,1
"Bordier - Félix Faure","48,9039075188202","2,3830059170723",1,0,1
"Borrégo - Gambetta","48,8733049704553","2,40141458809376",1,1,0
"Bosquet - Saint-Dominique","48,8586517095264","2,30371658023458",3,3,0
"Botzaris - Crimée","48,8795969869018","2,38879133374771",1,1,0
"Bourdon - Pont Morland","48,8478103","2,3659356",1,1,0
"Bourse du Travail","48,868976638826","2,3623438552022",1,1,0
"Boussingault - Tolbiac","48,8260351660585","2,34217680800433",2,1,1
"Brillat-Savarin - Küss","48,822203","2,350422",2,1,1
"Brochant - Square des Batignolles ","48,8881869858103","2,31686114315115",1,1,0
"Bruant - Vincent Auriol","48,834848452929","2,3668264996271",2,1,1
"Bruneseau - Quai d'Ivry","48,8249456375829","2,38856613636017",3,0,3
"Bréguet - Sabin","48,856931678257","2,3706749462105",1,1,0
"Buffon - Jardin des Plantes","48,8426684661049","2,36185871064663",1,1,0
"Butte aux Cailles - Esperance","48,8275877419095","2,34921511262655",1,1,0
"Buzenval - Vignoles","48,8538581716876","2,40000408142805",1,1,0
"Béranger - Félix Faure","48,8040482862149","2,28482633737234",2,2,0
"Cambrai - Benjamin Constant","48,8959473685135","2,38113380224631",1,0,1
"Cambronne - Mademoiselle","48,8432773300352","2,30230766886348",1,1,0
"Camille Groult - Guy Môquet","48,7874827465213","2,39767257124186",1,1,0
"Capitaine Glarner - Gabriel Péri","48,9024499004187","2,33048075334257",1,1,0
"Cardinal Lavigerie","48,8329341936998","2,40263674939916",2,2,0
"Carpeaux - Place Jacques Froment","48,8906542","2,3309428",2,2,0
"Cartier Bresson - Denis Papin","48,902616","2,397814",1,1,0
"Caulaincourt - Place Constantin Pecqueur","48,8896779050281","2,33817871442611",1,1,0
"Centenaire - Sorins","48,8585352335973","2,42735087871552",2,2,0
Centquatre,"48,8893335384554","2,37078543752432",3,3,0
"Chabrol - d''Hauteville","48,8770183880333","2,35131796449423",1,0,1
"Champ de Mars - Cler","48,8566915501153","2,30664677917957",2,2,0
"Champeaux - Gallieni","48,8644591346846","2,41617780178785",3,3,0
"Championnet - Vauvenargues","48,8940187474457","2,3319872841239",1,1,0
"Chancé Milly - Cimetière Communal Sud","48,8968718938247","2,3039223253727",2,1,1
