"Nom station prise","Latitude station prise","Longitude station prise",Total,VAE,VM
"Adolphe Lalyre - Armand Silvestre","48,9040626696159","2,27341622114182",2,2,0
"Alibert - Jemmapes","48,871044051984","2,3661044619878",3,1,2
"Anatole France - President Roosevelt","48,9155156","2,3814103",3,3,0
"Argenteuil - Voltaire","48,9186486595556","2,28141121566296",1,1,0
"Arsène Houssaye - Champs-Elysées","48,873409276267","2,2977904602885",2,2,0
"Averroès - Aimé Césaire","48,9140532343286","2,41263695061207",3,3,0
"Balzac - Champs Elysées","48,872699639621","2,3001953959465",2,2,0
"Bas - Gabriel Péri","48,9158558053962","2,2948095202446",5,2,3
"Bateliers - Quai de Seine","48,915817585516","2,3239533298594",1,0,1
"Beaujon - Wagram","48,875352455985","2,2964416444302",1,1,0
"Belleville -  Pré Saint-Gervais","48,875565910073","2,3930460959673",1,1,0
"Bibliothèque Nationale - Richelieu","48,8682889935149","2,33808930963278",1,0,1
"Boétie - Ponthieu","48,871417284355","2,3076787590981",3,3,0
"Carducci - Place Hannah Arendt","48,8774366815158","2,38607436418533",1,1,0
"Cartier Bresson - Denis Papin","48,902616","2,397814",2,2,0
"Cesaria Evora - Rosa Parks","48,8971767282504","2,37451739609241",1,0,1
"Champ de Mars - Cler","48,8566915501153","2,30664677917957",1,1,0
"Chancé Milly - Cimetière Communal Sud","48,8968718938247","2,3039223253727",1,1,0
"Charentonneau - Maisons Alfort","48,8099329804844","2,44328845649695",1,1,0
"Charles Tillon - Cimetière Communal","48,9184402364184","2,39356309175491",2,1,1
"Charles de Gaulle - Madrid","48,884432270368","2,2608044743538",1,0,1
"Charles de Gaulle - Sablonville","48,8799192486004","2,27637704461813",1,1,0
"Châteaudun - Place de la Liberté","48,9097083030121","2,24544864806006",6,5,1
"Cimetière de Montmartre","48,886472466142","2,3328901827335",1,1,0
"Cité des Sciences et de l''''Industrie","48,896595711789","2,38459914922714",2,2,0
"Claude Debussy - Marc Bloch","48,910388180512","2,3117771744728",1,0,1
"Diderot - Pierre Bourdan","48,847648620797","2,3902582749724",2,1,1
"Docteur Calmette - Martre","48,898969358483","2,3086513252383",1,0,1
"Edouard Pailleron - Bouret","48,8805976940705","2,37694948911667",1,0,1
"Edouard Poisson - Victor Hugo","48,9111855705262","2,37986475269281",1,1,0
"Eugène Oudiné - Dessous Des Berges","48,8256423","2,3750226",2,0,2
"Euryale Dehaynin - Loire","48,8862489173048","2,3774591088295",1,1,0
"Fort d'Aubervilliers","48,9150238237033","2,40352816879749",1,1,0
"Félix Faure - Sadi Carnot","48,9081211022839","2,37862318754196",1,0,1
"Gabrielle Josserand - Edouard Vaillant","48,9027156625544","2,3933270573616",1,0,1
"Gare Montparnasse - Vaugirard","48,8418071798797","2,31951002690117",1,1,0
"Gare d'Asnières sur Seine","48,9063645921747","2,28350669145584",2,2,0
"Gare de Clichy-Levallois ","48,8967982748199","2,29846805334091",2,2,0
"Gare de Lyon - Place Louis Armand","48,845515089794","2,3726498446286",4,2,2
"Gare de l''''Est - Chateau Landon","48,879305","2,362424",2,2,0
"Gare de la Garenne-Colombes","48,909752","2,239145",1,0,1
"George V - Christophe Colomb","48,87046","2,30104",2,1,1
"Georges Pompidou - Verdun","48,875481","2,232443",1,0,1
"Gustave Eiffel - Parc des Impressionnistes","48,9039061965102","2,29469083249569",2,1,1
"Hispano Suiza - Parc des Bruyères","48,915885074177","2,2682306702811",1,1,0
"Hôtel de Ville d'Asnières sur Seine","48,9099933002558","2,28823810815811",3,2,1
"Hôtel de Ville de Levallois Perret","48,8931445199742","2,28888183832169",1,0,1
"Jean Jaurès - Place du Dr Roux","48,927567032796","2,2947337017374",1,1,0
"Jean Mermoz - Champs-Elysées","48,869689856852","2,3107324540615",1,1,0
"Joffre - Aigle","48,904033","2,245096",1,1,0
"Lac Daumesnil - Saint-Maurice","48,8277455574332","2,41836547851562",6,6,0
"Lamennais - Washington ","48,873529900265","2,30344489216805",1,0,1
"Lebrun - Colonel Fabien ","48,7826687073315","2,38131780177355",4,1,3
"Ledru-Rollin - Place du Père Chaillet","48,8564337069437","2,37902058776143",2,2,0
"Mairie d'Ivry-sur-Seine","48,8105712096928","2,38428264856339",2,1,1
"Mairie de Clichy","48,903653634661","2,3059353232384",1,1,0
"Mairie de La Garenne Colombes","48,9066382346868","2,24679596722126",1,1,0
"Mairie de Romainville","48,885109","2,435679",1,1,0
"Mairie du 3ème","48,8644617813914","2,36176282167435",1,1,0
"Malesherbes - Place de la Madeleine","48,870406028483","2,323243509808",2,1,1
"Marceau Delorme - Pierre Brossolette","48,9120606286036","2,29589742356875",2,0,2
"Marcel Monge - Marcel Dassault","48,8609638453337","2,22467332960481",1,0,1
"Maurice Payret-Dortail","48,8781195706334","2,22336251288652",1,1,0
"Morice - Général Leclerc","48,9024547198159","2,312892973423",2,2,0
Olympiades,"48,826764665199","2,3650860786438",1,0,1
"Parc Pierre Lagravère","48,9265048813172","2,23906967849142",6,2,4
"Parc Roger Salengro","48,905303858642","2,31055945158",1,0,1
