"Nom station prise","Latitude station prise","Longitude station prise",Total,VAE,VM
"Alger - Rivoli","48,864773553495","2,3294493936128",1,1,0
"Amaury Duval - Gabriel Péri","48,8171875967167","2,3238417506218",1,1,0
"Anatole France - President Roosevelt","48,9155156","2,3814103",2,2,0
"André Karman - République","48,9103987576185","2,38513559103012",1,1,0
"André Mazet - Saint-André des Arts","48,8537558105743","2,33909580856562",1,1,0
"André Theuriet - Blagis","48,7797732574544","2,31305256485939",1,1,0
"Arago - Glacière","48,8348605477577","2,34457705243221",1,0,1
"Argenson - Château","48,8885593146695","2,26420015096664",1,1,0
"Arsène Houssaye - Friedland","48,874510616163","2,2994716674148",1,1,0
"Arthur Auger - Jean Jaurès","48,8137364455852","2,30692774057388",1,1,0
"Assas - Vaugirard","48,848274111398","2,3292413726449",1,1,0
"Auguste Blanqui - Glacière","48,8311516029644","2,34382219612598",1,1,0
"Auguste Cain - Jean Moulin","48,8257702892757","2,32104152441025",1,1,0
"Bagnolet - Orteaux","48,8570864102724","2,39841252565384",1,1,0
"Barbès - Monique Maunoury","48,8155271882022","2,36871693349054",1,1,0
"Batignolles - Beudant","48,8821640146638","2,31985297054052",1,1,0
"Beaubourg - Michel-le-Comte","48,862534941806","2,3543103039265",1,1,0
"Beaujon - Wagram","48,875352455985","2,2964416444302",1,1,0
"Beaumarchais - Pas de la Mule","48,855580507049","2,3684333673431",1,1,0
"Beaumarchais - Saint-Gilles","48,8580378","2,3679352",2,2,0
"Belleville -  Pré Saint-Gervais","48,875565910073","2,3930460959673",1,1,0
"Belleville - Couronnes","48,868831082877","2,3809862136841",1,1,0
"Belleville - Porte des Lilas","48,8766039189276","2,40476969112948",2,2,0
"Benjamin Delessert - Jean Lolive","48,8939204361934","2,4179819226265",1,1,0
"Benoît Frachon - République","48,8523072901432","2,4156054854393",1,1,0
"Bessières - Porte de Clichy","48,8961176245147","2,31790903955698",2,2,0
"Bibliothèque Nationale - Richelieu","48,8682889935149","2,33808930963278",1,1,0
"Bir Hakeim","48,8538440543335","2,28970534822202",2,2,0
"Blaise-Desgoffe - Vaugirard","48,846128877747","2,3242672160268",2,2,0
"Blancs-Manteaux - Archives","48,85941800703","2,3559471219778",1,1,0
"Bosquet - Saint-Dominique","48,8586517095264","2,30371658023458",2,2,0
"Brancion - Lefebvre","48,8290022278557","2,30143103816341",1,1,0
"Brillat-Savarin - Küss","48,822203","2,350422",1,0,1
"Bruant - Vincent Auriol","48,834848452929","2,3668264996271",2,2,0
"Bruneseau - Quai d'Ivry","48,8249456375829","2,38856613636017",2,2,0
"Bréa - Raspail","48,842738478258","2,3297942217634",1,1,0
"Cambon - Rivoli","48,866143390992","2,3251800647137",2,2,0
"Cambronne - Villa Croix Nivert","48,845847561366","2,3017574474216",1,1,0
"Camille Risch - Paul Armangot","48,774703","2,373685",1,1,0
"Capitaine Glarner - Gabriel Péri","48,9024499004187","2,33048075334257",1,1,0
"Cassini - Denfert-Rochereau","48,837525839067","2,3360354080796",2,2,0
"Cauchy - Cévennes","48,8433725710224","2,27513283491135",1,1,0
"Censier - Jardin des Plantes","48,8410717816138","2,35547538846731",19,1,18
"Censier - Santeuil","48,8406589213852","2,35375240445137",3,3,0
"Centre Georges Pompidou","48,861419","2,352581",2,2,0
"Charenton - Wattignies","48,8366757964063","2,39179585555563",1,1,0
"Charles Frérot - Albert Guilpin","48,8155839183714","2,35050290822983",2,2,0
"Charles de Gaulle - Beauté","48,8364960231271","2,47956265114989",6,6,0
"Charles de Gaulle - Rue de l'Alma","48,896620592993","2,252313240191",1,1,0
"Charonne - Alexandre Dumas","48,8560774150561","2,39486932754517",1,1,0
"Charonne - Bureau","48,854176","2,396093",1,1,0
"Chaussée d'Antin - Haussmann","48,87243","2,33359",1,1,0
"Chazelles - Courcelles ","48,879406604954","2,3034455627203",1,1,0
"Chemin Vert - Saint-Maur","48,8611246140736","2,38129902631044",1,1,0
"Cherche-Midi - Hôpital Necker","48,8446106330996","2,31791406869888",1,1,0
"Choisy - Tolbiac","48,82591155587","2,3602393269539",1,1,0
"Château - Place de Catalogne","48,836805542262","2,3185293003917",1,1,0
"Château - République","48,905928","2,253629",2,2,0
"Cité Riverin - Château d''''Eau","48,8707024235543","2,35873986390085",1,1,0
"Claude Bernard - Arbalète","48,839766769782","2,34751090407372",1,1,0
"Claude Debussy - Marc Bloch","48,910388180512","2,3117771744728",1,1,0
"Claude Decaen - Cannebière","48,8376141703795","2,3972537821957",1,1,0
"Clichy - Douai","48,883687771522","2,328063700029",1,1,0
"Clichy - Place Blanche","48,883601088297","2,3332237824798",2,2,0
"Clignancourt - Ordener","48,8914577261538","2,34863647806049",2,2,0
"Cléry - Montmartre","48,867458","2,3445211",1,1,0
"Commandant Charcot - Bretteville","48,8753057076542","2,25584607571363",2,2,0
"Concorde - Stalingrad","48,7985844","2,3821302",1,1,0
"Conservatoire de Musique","48,770935866676","2,40340143442154",1,1,0
"Cours de Vincennes - Davout","48,847238029966","2,4107042336225",1,1,0
"Croulebarde - Corvisart","48,8309816593169","2,3481646925211",2,2,0
"Danielle Casanova - Ledru-Rollin","48,8157834978768","2,38325972110033",1,1,0
"Danton - Serpente","48,8522973625817","2,34141323715448",1,1,0
"Dantzig - Lefebvre","48,8301392158676","2,29593403637409",1,1,0
"Dareau - Broussais","48,8307758","2,3361804",1,1,0
"Decrès - Alésia","48,832200060759","2,3139070151575",1,1,0
"Diderot - Reuilly","48,847208456061","2,3861273378134",2,2,0
"Duméril - Jeanne d'Arc","48,8381516080866","2,3571084495564",2,2,0
"Dunois - Clisson","48,832294","2,3674523",1,0,1
"Ecole Vétérinaire","48,8148885982249","2,4224362157779",2,2,0
"Edgar Quinet - Gaité","48,8411609289663","2,32459545135498",1,1,0
"Edgar Quinet - Raspail","48,8394026667384","2,32971478253603",2,2,0
"Edouard Poisson - Victor Hugo","48,91113914953","2,37927228212357",2,2,0
"Edouard Vaillant - Paul-Adolphe Souriau","48,8348458588287","2,2479459643364",3,3,0
"Eglise d'Auteuil","48,8474984177169","2,26848387135299",1,1,0
"Emeriau - Place de Brazzaville","48,850785261675","2,28715851902962",1,1,0
"Enfants du Paradis - Peupliers","48,833122686454","2,2571459412575",1,1,0
"Epée de Bois - Mouffetard","48,8415086903888","2,35006671398878",1,1,0
"Eugène Oudiné - Dessous Des Berges","48,8256423","2,3750226",2,2,0
"Euryale Dehaynin - Loire","48,8862489173048","2,3774591088295",1,1,0
"Fabre d'Eglantine - Place de la Nation","48,8471116","2,3956204",1,1,0
"Faubourg Du Temple - Republique","48,867872484749","2,3648982158072",1,1,0
"Faubourg Poissonniere - Delta","48,8825558076268","2,34974820166826",1,1,0
"Fief - République","48,8317088816602","2,2557719796896",1,1,0
"Fille du Calvaire - Turenne","48,8621050541256","2,3649600148201",2,2,0
"Francoeur - Caulaincourt","48,8899944409612","2,34252970665693",1,1,0
"Française - Etienne Marcel","48,8640533046538","2,34758701175451",1,1,0
"Froidevaux - Boulard","48,835147319625","2,3294411972165",1,1,0
"Gabriel Lamé","48,8351212784276","2,38553456962109",1,1,0
"Galilée - Kléber","48,8674118657137","2,29078138011482",1,1,0
"Galilée - Vernet","48,871715878697","2,2985444962978",1,1,0
"Gare - Aristide Briand","48,821410564722","2,2555950104387",3,3,0
"Gare Arcueil - Cachan","48,799824","2,328171",2,2,0
"Gare Montparnasse - Arrivée","48,843827994315","2,3225811123848",2,2,0
"Gare RER - Général de Gaulle","48,933548439566","2,3064726536317",1,1,0
"Gare RER - Malleret-Joinville","48,802936","2,42531",1,1,0
"Gare RER de Vincennes","48,8475630151261","2,43338316679001",4,4,0
"Gare d'Austerlitz - Pont Charles de Gaulle","48,8423198301093","2,36703000962734",1,1,0
"Gare de Pont-Cardinet","48,8871390147531","2,31449414399426",1,1,0
"Gare de Robinson","48,7799259211605","2,2818286344409",2,2,0
"Gare de l''''Est - Chateau Landon","48,879305","2,362424",1,1,0
"Gare de l''''Est - Place du 11 Novembre 1918","48,876327","2,3585464",1,1,0
