"Nom station prise","Latitude station prise","Longitude station prise",Total,VAE,VM
"Abbeville - Faubourg Poissonnière","48,879223","2,349147",1,1,0
"Abbé Carton - Plantes","48,8276738231658","2,32091814279556",1,1,0
"Adolphe Lalyre - Armand Silvestre","48,9040626696159","2,27341622114182",1,0,1
"Adrien Lesesne - Docteur Bauer","48,9026386730463","2,34824806343151",1,1,0
"Alexandre Parodi - Quai de Valmy","48,8793594194253","2,36659616231918",3,3,0
"Alibert - Jemmapes","48,871044051984","2,3661044619878",4,4,0
"Amelot - Saint-Sébastien","48,8611421627609","2,36779961810773",2,0,2
"Anatole France - Jean Lolive","48,8949922","2,4253764",2,2,0
"André Karman - République","48,9103987576185","2,38513559103012",1,0,1
"André Mazet - Saint-André des Arts","48,8537558105743","2,33909580856562",2,0,2
"Aqueduc - Villette","48,883886063895","2,367198803315",2,2,0
"Auguste Blanqui - Glacière","48,8311516029644","2,34382219612598",2,0,2
"Auguste Cain - Jean Moulin","48,8257702892757","2,32104152441025",1,1,0
Avenir,"48,8103438","2,3003776",2,2,0
"Bachaumont - Montmartre","48,8661739507914","2,34497755765915",1,1,0
"Bagnolet - Place Saint-Blaise","48,85973","2,40334",1,1,0
"Balzac - Olympes de Gouges","48,7785033248675","2,4006786569953",1,1,0
"Bastille - Beaumarchais","48,853833463852","2,3685702681541",3,2,1
"Bastille - Biscornet","48,851355779579","2,369220033288",5,3,2
"Batignolles - Place de Clichy","48,883474535757","2,326493114233",4,4,0
"Batignolles - Rome","48,8818233705668","2,32025898993015",1,1,0
"Beaumarchais - Saint-Gilles","48,8580378","2,3679352",2,2,0
"Belfort - Victor Hugo","48,9018492","2,3172724",1,1,0
"Bellefond - Poissonnière","48,8775989705071","2,34846375882626",2,2,0
"Benjamin Delessert - Jean Lolive","48,8939204361934","2,4179819226265",1,1,0
"Bercy - Villot","48,841795009027","2,3767850184816",1,1,0
"Berri - Haussmann","48,8747460473571","2,30829533189535",2,1,1
"Berthier - Porte de Clichy","48,894222687781","2,3125872006816",1,1,0
