"Nom station prise","Latitude station prise","Longitude station prise","Nom station dépose","Latitude station dépose","Longitude station dépose",Total,VAE,VM
"Chausson - Gabriel Péri","48,9218910034811","2,29523062705994","Square Louise Michel","48,884687354509","2,3441386967897",3,1,2
"Crozatier - Faubourg Saint-Antoine","48,850440013405","2,378901366211","Tardieu - Chappe","48,884146759782","2,341845408082",13,2,11
"Hôpital Pitié Salpêtrière","48,8377016","2,3604946","Glacière - Soeur Catherine Marie","48,8295229894206","2,34357040375471",6,3,3
"Emile Blemont - Poteau","48,8943782","2,3415122","Ney - Porte de Montmartre","48,897918","2,3364872",16,9,7
"Departement - Pajol","48,8866748497302","2,36136116087437","Porte de Clignancourt.","48,897488","2,343996",13,4,9
"Place d'Italie - Vincent Auriol","48,831481874467","2,3567550292319","Glacière - Soeur Catherine Marie","48,8295229894206","2,34357040375471",10,1,9
"Poissonniers - Championnet","48,8954329973394","2,35301781445742","Ney - Porte de Clignancourt ","48,8978867","2,3458001",7,1,6
Championnet.,"48,8953643","2,3498166","Mstislav Rostropovitch - Berthier","48,892120821174","2,30923410505056",3,0,3
"Joseph Dijon - Ornano","48,8937445335152","2,34766781330109","Cimetière de Montmartre","48,886472466142","2,3328901827335",14,6,8
"Place d'Italie - Vincent Auriol","48,831481874467","2,3567550292319","Bobillot - Moulin des Prés","48,828657346203","2,353020646317",8,3,5
"Pajol - Riquet ","48,8896002813454","2,36285347491503","Rochechouart - Martyrs","48,882193779572","2,3405495658517",4,0,4
"Riquet - Marx Dormoy","48,8902100370203","2,36017562448978","Place des Ternes.","48,8784386312265","2,2977277636528",3,0,3
"Pajol - Riquet ","48,8896002813454","2,36285347491503","Jardins d'Eole","48,8869703","2,3668488",5,3,2
"Square Raymond Souplex","48,8918372147891","2,3354261031659","Lepic - Armée d'Orient","48,8875364038142","2,33430773019791",16,6,10
"Batignolles - Abel Truchet","48,8831039045822","2,32383474908838","Gare de Pont-Cardinet","48,8871390147531","2,31449414399426",6,6,0
"Batignolles - Abel Truchet","48,8831039045822","2,32383474908838","Gare de Pont-Cardinet","48,8871390147531","2,31449414399426",3,3,0
"Batignolles - Abel Truchet","48,8831039045822","2,32383474908838","Place des Ternes.","48,8784386312265","2,2977277636528",3,3,0
"Batignolles - Abel Truchet","48,8831039045822","2,32383474908838","Place des Ternes.","48,8784386312265","2,2977277636528",4,2,2
"Square Léon","48,8866739678863","2,35320556908846","Place Pigalle","48,8827555","2,3361566",4,1,3
"Porte de Clichy - Place des Nations Unies","48,8967372633095","2,31054299919639","Reims - Raymond Pitet","48,8888","2,296319",7,1,6
"Boussingault - Tolbiac","48,8260351660585","2,34217680800433","Bobillot - Paulin Mery","48,8298998417474","2,35433567667485",9,1,8
"Boussingault - Tolbiac","48,8260351660585","2,34217680800433","Bobillot - Paulin Mery","48,8298998417474","2,35433567667485",9,3,6
"Championnet - Vauvenargues","48,8940187474457","2,3319872841239","Caulaincourt - Place Constantin Pecqueur","48,8896779050281","2,33817871442611",15,6,9
"Boussingault - Tolbiac","48,8260351660585","2,34217680800433","Gare d'Austerlitz","48,842524","2,364044",4,1,3
"Gare du Nord - Place de Valenciennes","48,879089","2,354235","Departement - Pajol","48,8866748497302","2,36136116087437",12,1,11
"Boussingault - Tolbiac","48,8260351660585","2,34217680800433","BNF - Bibliothèque Nationale de France","48,8350268238","2,3760157451034",3,0,3
"Parc Monceau","48,881077914129","2,3095492646098","Guersant - Gouvion-Saint-Cyr","48,882877751786","2,28766737081487",3,0,3
"Parc Monceau","48,881077914129","2,3095492646098","Jardin Marguerite Long","48,8816985773914","2,28365756571293",6,6,0
"Wilson - Métallurgie","48,9094230100923","2,35844358801842","Stade de France","48,9191419535581","2,3620655760169",10,7,3
"Hôpital - Campo-Formio","48,835405","2,358218","BNF - Bibliothèque Nationale de France","48,8350268238","2,3760157451034",6,5,1
"Wilson - Métallurgie","48,9094230100923","2,35844358801842","Wilson - Landy","48,9151672622135","2,35763322561979",4,3,1
"Gare de Pont-Cardinet","48,8871390147531","2,31449414399426","Brochant - Square des Batignolles ","48,8881869858103","2,31686114315115",13,2,11
"Leibniz - Jean Dollfus","48,896328348516","2,33339042383468","Etienne Jodelle - Saint Ouen","48,8879401639469","2,32612442031434",16,8,8
"Marcadet - Barbès","48,890451120965","2,3490573929687","Mairie du 18ème","48,8929392969376","2,34455108642578",6,1,5
"Phalsbourg - Villiers","48,8824230790095","2,30904534459114","De Toqueville - Terrasse","48,882428","2,314002",7,0,7
"Brochant - Square des Batignolles ","48,8881869858103","2,31686114315115","Lemercier - Cardinet","48,8900971688517","2,3173776268959",5,0,5
"Théophile Gautier - François Millet","48,8503482132064","2,27302998304367","Ceinture du Lac Inferieure - Saint-Cloud","48,8621807093314","2,26178716868162",15,0,15
"Jean Jaurès - Place du Dr Roux","48,927567032796","2,2947337017374","Parc Roger Salengro","48,905303858642","2,31055945158",7,2,5
"Paul Vaillant Couturier - Chaptal","48,8934795761825","2,27752536535263","Edith Cavell - Volta","48,901616564287","2,26935435086489",7,1,6
"Ranelagh - Maison de la Radio","48,8529360316948","2,28044964373112","Mozart - Jasmin","48,8528612487169","2,26848357065151",12,3,9
"Boutroux - Porte de Vitry","48,822632","2,377738","Jean Colly - Tolbiac","48,8278172915978","2,37054906785488",13,0,13
"Pont de Levallois-bécon ","48,8984179","2,2791311","Guichet - Jean Jaurès","48,905169868129","2,30238407850266",7,4,3
"Pirogues de Bercy - Libourne","48,832308","2,38637","Reuilly - Place Felix Eboue","48,8403027449996","2,39463039871545",15,7,8
"Place de la Madeleine - Royale","48,869228052648","2,324421107769","Porte de Saint-Ouen - Bessières","48,8979224085452","2,32851451022192",5,1,4
"Place de la Madeleine - Royale","48,869228052648","2,324421107769","Batignolles - Rome","48,8818233705668","2,32025898993015",10,2,8
"Bruant - Vincent Auriol","48,834848452929","2,3668264996271","Bobillot - Moulin des Prés","48,828657346203","2,353020646317",13,0,13
"Claude Debussy - Marc Bloch","48,910388180512","2,3117771744728","Mairie de Clichy","48,903653634661","2,3059353232384",6,2,4
"Square Louis XVI","48,8732044010289","2,32365883074314","Porte de Saint-Ouen - Bessières","48,8979224085452","2,32851451022192",10,3,7
"Quai Panhard et Levassor","48,8283748280967","2,38427374580557","Porte d'Ivry","48,8217687475965","2,36887067556381",6,0,6
"Quai Panhard et Levassor","48,8283748280967","2,38427374580557","Pirogues de Bercy - Libourne","48,832308","2,38637",8,1,7
"Gare RER - Maurice Grandcoing","48,813881","2,392429","Place de la Nation - Picpus","48,846821681548","2,4001130461693",13,7,6
"François Truffaut - Saint Emilion","48,8337235434481","2,38660190327143","Porte d'Ivry","48,8217687475965","2,36887067556381",8,0,8
"Pont de Levallois-bécon ","48,8984179","2,2791311","Batignolles - Beudant","48,8821640146638","2,31985297054052",6,2,4
"Carrefour Pleyel","48,9203415696033","2,34385438263416","Hôtel de Ville de Saint-Ouen","48,911380185786","2,3340076807601",15,6,9
