"Nom station prise","Latitude station prise","Longitude station prise","Nom station dépose","Latitude station dépose","Longitude station dépose",Total,VAE,VM
"Westermeyer - Paul Vaillant-Couturier","48,8191161815788","2,39666372537613","Station Paris Basketball - Stade Georges Carpentier","48,8204824383814","2,36683219671249",13,1,12
"Gare RER - Maurice Grandcoing","48,813881","2,392429","Place d'Italie - Vincent Auriol","48,831481874467","2,3567550292319",8,1,7
"Charles Delescluze","48,8524220084889","2,38063249737024","Gare du Nord - Hôpital Lariboisière","48,881949","2,352339",16,3,13
"Place Marcel Cachin","48,8141144235687","2,39090770483017","Porte d'Italie","48,817161987719","2,36023630946875",8,1,7
"Gare RER - Maurice Grandcoing","48,813881","2,392429","Boulard - Daguerre","48,8344647268061","2,32933860272169",9,0,9
"Victor Hugo - Paul Eluard","48,819602554907","2,4114319673051","Chevaleret - Louise Weiss","48,8325865133506","2,37121138811995",9,1,8
"Place de la Gare","48,8025335801128","2,42750376462936","Parc de Choisy","48,828156251575","2,3585135329033",5,0,5
"Félix Faure - Lourmel","48,8386890170951","2,28180818259716","Dantzig - Lefebvre","48,8301392158676","2,29593403637409",7,0,7
"Versailles - Claude Terrasse","48,8402193380741","2,26383419115296","Porte d'Auteuil","48,8479394142243","2,26083967834711",16,0,16
"Pyrénées - Ménilmontant","48,8693268535238","2,39508457481861","Belleville - Porte des Lilas","48,8766039189276","2,40476969112948",9,8,1
"Belleville -  Pré Saint-Gervais","48,875565910073","2,3930460959673","Jourdain - Place des Grandes Rigoles","48,8740311372717","2,38959476351738",6,6,0
"Ledru-Rollin - Place du Père Chaillet","48,8564337069437","2,37902058776143","Granges aux Belles","48,8761373390584","2,3680844979417",14,0,14
"Grenelle - Dr Finlay","48,851315406716","2,29195028543472","Boulard - Daguerre","48,8344647268061","2,32933860272169",9,0,9
"Félix Faure - Lourmel","48,8386890170951","2,28180818259716","Gare Montparnasse - Vaugirard","48,8418071798797","2,31951002690117",9,0,9
"Pré Saint-Gervais - Lilas","48,877870626988","2,3959073424339","Place du Maquis du Vercors","48,8773215794936","2,40837827324867",6,6,0
"Jean Jaurès - Place du Dr Roux","48,927567032796","2,2947337017374","Gare de Clichy-Levallois ","48,8967982748199","2,29846805334091",7,4,3
"Madame de Sanzillon - Mozart","48,903798207743","2,31874018907547","Guichet - Jean Jaurès","48,905169868129","2,30238407850266",7,2,5
"Pont de Levallois-bécon ","48,8984179","2,2791311","Mairie de Clichy","48,903653634661","2,3059353232384",7,1,6
"Claude Debussy - Marc Bloch","48,910388180512","2,3117771744728","Guichet - Jean Jaurès","48,905169868129","2,30238407850266",7,2,5
"Pont de Levallois-bécon ","48,8984179","2,2791311","Brochant - Clichy","48,8903299891204","2,31973055992978",7,1,6
"Félix Faure - Lourmel","48,8386890170951","2,28180818259716","Gare Montparnasse - Vaugirard","48,8418071798797","2,31951002690117",15,1,14
"Emeriau - Beaugrenelle","48,8479124971494","2,28430598974228","Paul Doumer - La Tour","48,8601161096266","2,28084048191106",15,2,13
"Saint-Antoine Sévigné","48,8550222","2,3612322","Malesherbes - Place de la Madeleine","48,8704060284825","2,32324350980799",7,0,7
"Félix Faure - Convention","48,841249336041","2,2883866008495","Gare Montparnasse - Arrivée","48,843827994315","2,3225811123848",16,1,15
